"Word1"	"icd10-wordtokens"	"icd10-I-wordtokens"
"//w"	205351	8524
"n/x"	93408	4277
"v/x"	41623	1470
"u/x"	11639	378
"的/u"	11270	378
"w/x"	9302	209
"a/x"	8106	469
"c/x"	6592	161
"性/n"	6382	361
"b/x"	6030	280
"f/x"	4743	309
"和/p"	4836	140
"d/x"	4625	256
"rv/x"	4682	167
"其他/rv"	4677	167
"p/x"	4096	89
"_COMMA_/w"	0	0
"特指/v"	2815	112
"q/x"	2691	187
"病/n"	2321	93
"未/d"	2087	100
"m/x"	1894	91
"损伤/v"	1629	0
"在/p"	1535	17
"伴/v"	1358	90
"k/x"	1346	34
"恶性肿瘤/n"	1339	0
"瘤/n"	1233	31
"后/f"	1124	77
"r/x"	1136	54
"处/n"	1118	55
"有/v"	1103	62
"疾患/n"	1080	78
"引起/v"	1096	55
"先天性/b"	1136	2
"或/c"	1115	8
"不/d"	961	88
"他/r"	957	53
"疾病/n"	908	81
"症/n"	955	16
"综合征/n"	910	54
"中/f"	938	16
"、/w"	940	8
"急性/b"	820	105
"与/p"	922	0
"于/p"	876	41
"(/w"	864	44
")/w"	860	44
"炎/n"	866	38
"多/m"	822	17
"型/n"	755	13
"n1/x"	744	17
"细胞/n"	755	0
"非/b"	692	60
"障碍/n"	744	6
"t/x"	704	22
"内/f"	646	56
"膜/n"	640	62
"nf/x"	674	9
"动脉/n"	411	255
"异常/d"	651	2
"畸形/n"	648	2
"感染/v"	617	14
"效应/n"	623	0
"者/n"	595	16
"神经/n"	599	1
"新生儿/n"	597	0
"脑/n"	467	121
"慢性/b"	553	34
"毒性/n"	582	4
"部位/n"	559	17
"发/v"	535	36
"肾/n"	545	25
"有害/a"	568	0
"下/f"	484	79
"妊娠/v"	555	0
"事故/n"	548	0
"归类/v"	531	16
"不可/v"	529	16
"[/w"	540	4
"]/w"	540	4
"有关/p"	535	0
"肿瘤/n"	534	0
"关节/n"	526	0
"骨/n"	524	0
"良性肿瘤/n"	521	0
"伤/v"	519	0
"狭窄/a"	371	140
"血/n"	476	34
"中毒/v"	509	0
"分类/v"	468	37
"癌/n"	501	0
"颈/n"	474	26
"皮肤/n"	499	0
"并发症/n"	464	30
"血管/n"	452	37
"骨折/v"	486	0
"-/w"	469	13
"碰撞/v"	460	0
"静脉/n"	309	148
"xm/x"	450	4
"外/f"	431	15
"肌/n"	424	15
"药/n"	435	3
"水平/n"	430	0
"体/n"	424	1
"小/a"	404	13
"出血/v"	374	34
"动态/n"	406	0
"创伤/n"	390	11
"n2/x"	387	13
"交通/n"	387	8
"开放性/n"	392	0
"肺/n"	352	26
"三/m"	329	42
"手术/n"	358	8
"样/n"	334	32
"器官/n"	362	0
"肿/v"	357	3
"腺/w"	360	0
"状/n"	355	4
"菌/n"	357	0
"为/p"	347	7
"结核/n"	354	0
"胎儿/n"	354	0
"部/n"	344	1
"囊肿/n"	340	1
"装置/n"	336	0
"物/n"	330	2
