"Word1"	"icd10-wordtokens"	"icd10-I-wordtokens"
"性/n"	6382	361
"病/n"	2321	93
"恶性肿瘤/n"	1339	0
"瘤/n"	1233	31
"处/n"	1118	55
"疾患/n"	1080	78
"疾病/n"	908	81
"症/n"	955	16
"综合征/n"	910	54
"炎/n"	866	38
"型/n"	755	13
"细胞/n"	755	0
"障碍/n"	744	6
"膜/n"	640	62
"动脉/n"	411	255
"畸形/n"	648	2
"效应/n"	623	0
"者/n"	595	16
"神经/n"	599	1
"新生儿/n"	597	0
"脑/n"	467	121
"毒性/n"	582	4
"部位/n"	559	17
"肾/n"	545	25
"事故/n"	548	0
"肿瘤/n"	534	0
"关节/n"	526	0
"骨/n"	524	0
"良性肿瘤/n"	521	0
"血/n"	476	34
"癌/n"	501	0
"颈/n"	474	26
"皮肤/n"	499	0
"并发症/n"	464	30
"血管/n"	452	37
"静脉/n"	309	148
"肌/n"	424	15
"药/n"	435	3
"水平/n"	430	0
"体/n"	424	1
"动态/n"	406	0
"创伤/n"	390	11
"交通/n"	387	8
"开放性/n"	392	0
"肺/n"	352	26
"手术/n"	358	8
"样/n"	334	32
"器官/n"	362	0
"状/n"	355	4
"菌/n"	357	0
"结核/n"	354	0
"胎儿/n"	354	0
"部/n"	344	1
"囊肿/n"	340	1
"装置/n"	336	0
"物/n"	330	2
"医疗/n"	318	0
"子宫/n"	312	1
"史/n"	302	0
"主动脉/n"	179	118
"下肢/n"	248	47
"乘员/n"	292	0
"手/n"	290	0
"球/n"	284	1
"功能/n"	272	5
"血栓/n"	160	115
"肝/n"	264	9
"精神/n"	270	0
"所/n"	269	0
"脓肿/n"	265	2
"类/n"	262	0
"淋巴/n"	251	9
"眼/n"	259	1
"组织/n"	260	0
"病毒/n"	258	0
"心/n"	180	75
"车辆/n"	255	0
"皮/n"	245	6
"纤维/n"	242	8
"系统/n"	247	2
"人员/n"	245	0
"尿/n"	244	0
"天性/n"	234	9
"心肌/n"	133	110
"囊/n"	239	3
"缺陷/n"	240	0
"胸/n"	224	14
"上肢/n"	211	20
"肠/n"	228	1
"后遗症/n"	211	17
"肌腱/n"	228	0
"肾炎/n"	225	0
"药物/n"	222	2
"壁/n"	167	54
"质/n"	220	1
"溃疡/n"	205	10
"鼻/n"	215	0
"肌肉/n"	209	3
"糖尿病/n"	210	0
"个人/n"	209	0
"心脏/n"	165	43
"原位/n"	207	0
"物质/n"	201	0
"腕/n"	198	0
"胃/n"	193	4
"口/n"	196	0
"脊髓/n"	196	0
"肩/n"	195	0
"肝炎/n"	192	0
"食管/n"	183	9
"牙/n"	191	0
"状态/n"	190	1
"反应/n"	188	1
"动脉瘤/n"	103	83
"肺炎/n"	186	0
"尿道/n"	185	0
"白血病/n"	185	0
"甲状腺/n"	181	0
"问题/n"	180	0
"胎/n"	178	0
"皮炎/n"	176	1
"伤口/n"	176	0
"机动车/n"	176	0
"小汽车/n"	173	0
"大脑/n"	119	51
"栓塞/n"	111	59
"事件/n"	167	0
"汽车/n"	167	0
"结缔组织/n"	167	0
"运输车/n"	167	0
"骨盆/n"	167	0
"原因/n"	166	0
"芽/n"	166	0
"阴道/n"	166	0
"篷车/n"	165	0
"货车/n"	165	0
"膀胱/n"	163	1
"脊柱/n"	161	2
"耳/n"	156	3
"营养/n"	158	1
"异物/n"	158	0
"期/n"	149	9
"腹/n"	133	25
"腹膜/n"	158	0
"血性/n"	137	21
"风湿/n"	90	67
"情况/n"	155	0
"视网膜/n"	154	1
"室/n"	132	22
"高血压/n"	99	55
"肉瘤/n"	153	0
"女性/n"	152	0
"宫/n"	150	0
"器/n"	149	0
"角膜/n"	148	0
"颅/n"	133	14
"曲/n"	98	47
"泌/n"	145	0
"肉/n"	145	0
