"Word1"	"icd10-wordtokens"	"icd10-I-wordtokens"
"特指/v"	2815	112
"损伤/v"	1629	0
"伴/v"	1358	90
"有/v"	1103	62
"引起/v"	1096	55
"感染/v"	617	14
"发/v"	535	36
"妊娠/v"	555	0
"归类/v"	531	16
"不可/v"	529	16
"伤/v"	519	0
"中毒/v"	509	0
"分类/v"	468	37
"骨折/v"	486	0
"碰撞/v"	460	0
"出血/v"	374	34
"肿/v"	357	3
"免疫/v"	328	0
"发育/v"	305	4
"抗/v"	303	0
"产/v"	300	0
"分娩/v"	297	0
"损害/v"	293	1
"破裂/v"	244	46
"死/v"	158	125
"缺乏/v"	270	0
"梗/v"	143	125
"未定/v"	262	0
"侧/v"	244	13
"管/v"	251	6
"形成/v"	150	96
"生殖/v"	238	0
"合并/v"	231	3
"贫血/v"	231	0
"接触/v"	230	0
"脱位/v"	224	0
"累及/v"	223	0
"出/v"	187	32
"暴露/v"	215	0
"操作/v"	208	5
"轮/v"	210	0
"及/v"	196	11
"检查/v"	207	0
"术/v"	195	8
"无/v"	192	7
"流产/v"	196	0
"咽/v"	195	0
"见/v"	195	0
"代谢/v"	190	1
"影响/v"	188	0
"烧伤/v"	188	0
"转移/v"	188	0
"裂/v"	187	0
"变/v"	183	3
"具有/v"	174	0
"使用/v"	167	0
"滑/v"	167	0
"梗阻/v"	159	4
"弥漫/v"	161	0
"腐蚀/v"	156	0
"化/v"	153	2
"治疗/v"	154	1
"萎缩/v"	154	1
"坏死/v"	150	3
"闭塞/v"	82	70
"硬化/v"	117	32
"未知/v"	146	0
"动/v"	105	40
"穿孔/v"	143	2
"脱/v"	138	7
"积/v"	130	10
"缺/v"	136	3
"受/v"	135	2
"增生/v"	135	2
"造成/v"	132	4
"作为/v"	115	14
"度/v"	119	6
"筛/v"	121	0
"致/v"	121	0
"入/v"	106	13
"包括/v"	119	0
"变性/v"	115	4
"呼吸/v"	118	1
"生/v"	116	3
"关闭/v"	68	50
"扭伤/v"	118	0
"指/v"	117	0
"复发/v"	114	1
"给予/v"	114	0
"锁/v"	109	4
"传导/v"	64	47
"切断/v"	111	0
"变形/v"	110	0
"移植/v"	107	2
"进行/v"	107	2
"闭/v"	105	4
"增多/v"	108	0
"劳损/v"	107	0
"学/v"	107	0
"阻滞/v"	65	42
"如/v"	105	0
"查/v"	105	0
"运输/v"	104	0
"植入/v"	103	0
"涉及/v"	103	0
"挤压/v"	100	1
"发作/v"	100	0
"粘连/v"	97	3
"应/v"	97	0
"化脓/v"	93	2
"交/v"	94	0
"骑/v"	94	0
"端/v"	91	1
"提及/v"	77	14
"背/v"	91	0
"扩张/v"	74	16
"挫伤/v"	89	0
"搭/v"	89	0
"混合/v"	88	1
"跨越/v"	89	0
"减退/v"	86	0
"造/v"	85	0
"嗜/v"	82	2
"垂/v"	74	7
"依赖/v"	78	0
"失败/v"	78	0
"确定/v"	78	0
"衰竭/v"	70	8
"冻伤/v"	76	0
"断裂/v"	66	10
"诊断/v"	76	0
"分裂/v"	75	0
"固定/v"	74	0
"痉挛/v"	68	5
"麻醉/v"	73	0
"并发/v"	71	0
"征/v"	71	0
"泡/v"	71	0
"消化/v"	71	0
"缺损/v"	63	8
"憩/v"	70	0
"吸/v"	68	0
"围/v"	67	0
"系/v"	67	0
"溶/v"	66	0
"钙化/v"	59	7
"翻/v"	65	0
"成/v"	64	0
"缺血/v"	47	17
"采取/v"	64	0
"散/v"	63	0
"诊/v"	63	0
"内出血/v"	36	26
"除外/v"	60	2
"增/v"	60	1
"昏迷/v"	61	0
"监督/v"	61	0
"过敏/v"	61	0
"阻塞/v"	54	7
"分离/v"	60	0
"加害/v"	59	0
"播/v"	59	0
"幻/v"	57	0
"干/v"	51	5
"自主/v"	56	0
"该/v"	56	0
"露/v"	56	0
"咨询/v"	54	0
"织/v"	54	0
"接受/v"	51	0
"凝/v"	50	0
"嵌/v"	50	0
"激/v"	47	3
"隐/v"	46	4
"丧失/v"	49	0
"休克/v"	49	0
"减少/v"	49	0
"回/v"	49	0
"淋/v"	49	0
"调整/v"	49	0
"透/v"	41	8
"亢进/v"	47	0
"切除/v"	45	2
"残留/v"	45	2
"疏松/v"	47	0
"证实/v"	47	0
"断/v"	46	0
"移/v"	46	0
"吻合/v"	45	0
"改变/v"	45	0
"隔/v"	45	0
"植/v"	44	0
"联合/v"	43	1
"失/v"	43	0
"失调/v"	43	0
"安装/v"	43	0
"滤/v"	43	0
"造血/v"	43	0
"静止/v"	43	0
"分化/v"	42	0
"康复/v"	42	0
"戒/v"	42	0
"索/v"	34	8
"能/v"	42	0
"辐射/v"	42	0
"延迟/v"	41	0
"观察/v"	41	0
"视/v"	41	0
"软化/v"	38	3
"连接/v"	40	0
"弯/v"	37	2
"斜视/v"	39	0
"束/v"	28	11
"病变/v"	39	0
"再生/v"	38	0
"凸/v"	36	2
"压/v"	35	3
"屈/v"	38	0
"带/v"	38	0
"搏/v"	30	8
"缩/v"	35	3
"骨化/v"	38	0
"不足/v"	34	3
"增殖/v"	37	0
"挛缩/v"	37	0
"整形/v"	37	0
"斜/v"	37	0
"轻/v"	37	0
"供/v"	33	3
"撕裂/v"	36	0
"溺/v"	36	0
"贮/v"	36	0
"孤立/v"	33	2
"沉没/v"	35	0
"淹/v"	35	0
"输血/v"	35	0
"附/v"	34	1
"预防/v"	35	0
"专用/v"	34	0
"压迫/v"	30	4
"降/v"	31	3
"鼓/v"	34	0
"反/v"	33	0
"发射/v"	33	0
"复合/v"	33	0
"放射/v"	33	0
"死亡/v"	33	0
"矫形/v"	33	0
"肿胀/v"	33	0
"析/v"	32	0
"瘫痪/v"	31	0
"分泌/v"	30	0
"发热/v"	30	0
"循环/v"	30	0
"排斥/v"	30	0
"流/v"	29	1
"跌落/v"	30	0
"遗忘/v"	30	0
"吸收/v"	29	0
"浸润/v"	29	0
"脱离/v"	29	0
"遗留/v"	29	0
"抑/v"	28	0
"无力/v"	28	0
"生长/v"	28	0
"监测/v"	28	0
"睡眠/v"	28	0
"称/v"	28	0
"移位/v"	28	0
"立/v"	28	0
"脱发/v"	28	0
"表现/v"	28	0
"长/v"	27	1
"难产/v"	28	0
"伸/v"	27	0
"咬/v"	27	0
"明确/v"	24	3
"生活/v"	27	0
"交界/v"	21	5
"出生/v"	26	0
"拉/v"	26	0
"持续/v"	26	0
"插入/v"	26	0
"染/v"	26	0
"滥用/v"	26	0
"维护/v"	26	0
"行动/v"	26	0
"解/v"	26	0
"跌倒/v"	26	0
"冠/v"	23	2
"感冒/v"	25	0
"松/v"	25	0
"构/v"	25	0
"种/v"	25	0
"虐待/v"	25	0
"作战/v"	24	0
"扭转/v"	24	0
"溢/v"	24	0
"穿/v"	24	0
"置/v"	24	0
"错/v"	24	0
"刺/v"	23	0
"原有/v"	23	0
"培养/v"	23	0
"枕/v"	23	0
"窒息/v"	23	0
"管理/v"	23	0
"粘/v"	23	0
"绞/v"	22	1
"耐/v"	23	0
"过/v"	23	0
"使/v"	22	0
"切割/v"	22	0
"剖宫产/v"	22	0
"折/v"	22	0
"污染/v"	22	0
"漏/v"	22	0
"盘/v"	22	0
"稳定/v"	20	2
"融合/v"	22	0
"起/v"	22	0
"镇痛/v"	22	0
"促/v"	21	0
"催眠/v"	21	0
"充/v"	11	10
"发现/v"	21	0
"受累/v"	14	7
"妄想/v"	21	0
"延长/v"	19	2
"强迫/v"	21	0
"抑制/v"	21	0
"照料/v"	21	0
"结/v"	18	3
"腹泻/v"	21	0
"避孕/v"	21	0
"发病/v"	20	0
"取/v"	20	0
"呕吐/v"	20	0
"收缩/v"	13	7
"放/v"	20	0
"检/v"	20	0
"躁/v"	20	0
"锥/v"	20	0
"和面/v"	19	0
"有毒/v"	19	0
"正中/v"	19	0
"注射/v"	19	0
"移动/v"	17	2
"诱发/v"	19	0
"为主/v"	18	0
"传播/v"	18	0
"侵/v"	18	0
"处置/v"	18	0
"失血/v"	18	0
"摄入/v"	18	0
"治/v"	17	1
"破/v"	18	0
"重/v"	18	0
"重复/v"	18	0
"停/v"	10	7
"勒/v"	15	2
